Time (s),Charging Current (A),Discharging Current (A)
0.0,10.204627015037959,-9.939824421068176
1.0,10.08944601627381,-10.025650304843705
2.0,9.942599699963392,-10.197945205692317
3.0,9.886761020700101,-9.932863811360553
4.0,10.109203450385955,-9.992286937394153
5.0,9.936799136489023,-10.028302168893854
6.0,9.89368528171762,-9.939462552311252
7.0,10.045578349098058,-10.157846363695528
8.0,9.835268863145068,-9.873721278600634
9.0,10.078016035919154,-10.072577172439367
10.0,9.984316283748473,-10.16866384519271
11.0,9.955213316304446,-9.972366669927348
12.0,10.179218845693132,-10.119701040661246
13.0,10.191066401935085,-9.858960006672014
14.0,9.92849763808907,-10.113395222496827
15.0,9.985534594922697,-10.021406247547867
16.0,10.094926229775995,-10.10062450579303
17.0,10.110007772611766,-9.955418929998682
18.0,9.966633993730179,-10.075027744193493
19.0,9.99818104612357,-10.186340724727366
20.0,10.16603202015025,-10.260104761705314
21.0,10.131405683811789,-10.11526839067952
22.0,10.03579833084589,-10.276359639860457
23.0,9.858684398181747,-10.130195942062858
24.0,10.187451180696511,-10.053624244279753
25.0,10.188175918436468,-10.00904687307114
26.0,10.150138719741472,-10.149600528432677
27.0,10.047004576916157,-10.090281043988606
28.0,9.818673478242257,-10.115148346361932
29.0,10.004767128886792,-10.149219475907499
30.0,9.941181100318746,-10.211621560230103
31.0,10.07655137305536,-10.098293446102018
32.0,10.11081944818885,-10.174571983123903
33.0,9.964940029674985,-9.983686672218367
34.0,10.081183765509548,-10.03042103640188
35.0,10.179090256105008,-10.262853229205518
36.0,9.945083400977907,-10.169207116077416
37.0,10.027437539876026,-10.171696550933648
38.0,10.083509321304533,-10.112699805503903
39.0,9.97245149110905,-10.218635104844976
40.0,9.908023580143999,-10.26902651324538
41.0,9.889903842871647,-10.113332421424442
42.0,9.994688048112554,-9.955513954374737
43.0,10.049046907374676,-10.244728092522477
44.0,10.076468340331372,-10.05253818033494
45.0,10.159713782112837,-10.07282573244446
46.0,10.098225920648298,-9.923151961028738
47.0,9.943786900315736,-9.948610827716406
48.0,9.957910954745069,-10.131122006797389
49.0,10.086476342653953,-10.208762749550473
